k	beta	residual	x	y
1	1.00e+00	2.50e-01	0.3610451749	0.7703256749
2	1.00e+00	6.25e-02	0.4633652999	0.6680055499
3	1.00e+00	1.56e-02	0.5145253624	0.6168454874
4	1.00e+00	3.91e-03	0.5401053937	0.5912654562
5	1.00e+00	9.77e-04	0.5528954093	0.5784754406
6	1.00e+00	2.44e-04	0.5592904171	0.5720804328
7	1.00e+00	6.10e-05	0.5624879210	0.5688829289
8	1.00e+00	1.53e-05	0.5640866730	0.5672841769
9	1.00e+00	3.81e-06	0.5648860490	0.5664848009
10	1.00e+00	9.54e-07	0.5652857370	0.5660851129
11	1.00e+00	2.38e-07	0.5654855810	0.5658852689
12	1.00e+00	5.96e-08	0.5655855030	0.5657853469
13	1.00e+00	1.49e-08	0.5656354640	0.5657353859
14	1.00e+00	3.73e-09	0.5656604444	0.5657104054
15	1.00e+00	9.31e-10	0.5656729347	0.5656979152
16	1.00e+00	2.33e-10	0.5656791798	0.5656916701
17	1.00e+00	5.82e-11	0.5656823024	0.5656885475
# x_0 = (0.1564050000, 0.9749660000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 5.82e-11
# Result point = (0.5656823024, 0.5656885475)
