k	beta	residual	x	y
1	1.00e+00	4.11e-01	-0.1993356359	0.8975199092
2	1.00e+00	3.54e-01	-0.2567416625	0.2685407948
3	5.00e-01	2.42e-01	-0.1335410987	0.6163895698
4	1.00e+00	9.35e-02	0.2758188750	0.5236175814
5	1.00e+00	8.94e-02	0.4745620895	0.6913512985
6	1.00e+00	2.39e-02	0.6127789408	0.5827004109
7	5.00e-01	1.93e-02	0.5661560604	0.6000312316
8	1.00e+00	6.76e-03	0.5793154997	0.5706099995
9	6.25e-02	6.36e-03	0.5730915429	0.5757856163
10	1.00e+00	2.31e-03	0.5629649593	0.5687960785
11	1.00e+00	7.76e-05	0.5658433850	0.5657424962
12	9.77e-04	7.75e-05	0.5657437836	0.5658419086
13	1.00e+00	4.02e-05	0.5656354258	0.5657387448
14	1.00e+00	6.07e-07	0.5656866617	0.5656858718
15	7.63e-06	6.07e-07	0.5656858835	0.5656866500
16	1.00e+00	3.15e-07	0.5656850336	0.5656858422
17	1.00e+00	4.72e-09	0.5656854346	0.5656854284
18	1.19e-07	4.72e-09	0.5656854298	0.5656854332
19	1.00e+00	1.98e-09	0.5656854225	0.5656854276
20	1.00e+00	3.67e-11	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 20
# Residual = 3.67e-11
# Result point = (0.5656854250, 0.5656854250)
