k	beta	residual	x	y
1	3.91e-03	9.99e-01	-3.1054687076	-2.9199218985
2	3.13e-02	9.97e-01	-3.3802149853	-2.5646533105
3	1.25e-01	9.30e-01	-3.3269387770	-1.7469460546
4	1.00e+00	5.76e-01	-0.6868642174	2.8434307296
5	1.00e+00	3.97e-01	-1.2651450851	-0.4217148305
6	1.00e+00	2.17e-01	0.5782851489	2.2108582978
7	5.00e-01	1.93e-01	0.1309966339	1.0527136951
8	1.00e+00	1.50e-01	1.8198051546	1.5900950076
9	5.00e-01	1.27e-01	1.0574253500	1.0900929253
10	4.88e-04	1.27e-01	1.0417589365	1.0983564023
11	6.10e-05	1.27e-01	1.0468365478	1.0958713540
12	9.54e-07	1.27e-01	1.0461609405	1.0962099976
13	1.19e-07	1.27e-01	1.0464580142	1.0960615657
14	1.19e-07	1.27e-01	1.0461559378	1.0962127089
15	1.19e-07	1.27e-01	1.0464430733	1.0960692462
16	5.96e-08	1.27e-01	1.0462747703	1.0961534502
17	3.73e-09	1.27e-01	1.0463131163	1.0961342804
18	1.46e-11	1.27e-01	1.0463105463	1.0961355655
# x_0 = (-3.0000000000, -3.0000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by beta
# iter = 18
# Residual = 1.27e-01
# Result point = (1.0463105463, 1.0961355655)
