k	beta	residual	x	y
1	1.00e+00	4.07e-01	-0.1940958138	0.8968757572
2	1.00e+00	3.43e-01	-0.2400359114	0.2745766177
3	5.00e-01	2.33e-01	-0.1182718775	0.6116035606
4	1.00e+00	9.28e-02	0.2862950797	0.5190670853
5	1.00e+00	9.24e-02	0.4704045273	0.6952520816
6	1.00e+00	2.57e-02	0.6161176942	0.5839067095
7	5.00e-01	2.47e-02	0.5608169319	0.6078050637
8	1.00e+00	7.38e-03	0.5805621985	0.5710604344
9	6.25e-02	6.95e-03	0.5732547782	0.5772231631
10	1.00e+00	2.73e-03	0.5622379212	0.5692925967
11	1.00e+00	3.94e-05	0.5657656584	0.5657144135
12	2.44e-04	3.94e-05	0.5657365131	0.5657435348
13	1.00e+00	1.33e-05	0.5656681454	0.5657028161
14	1.00e+00	2.03e-08	0.5656854664	0.5656854399
15	1.19e-07	2.03e-08	0.5656854528	0.5656854535
16	1.00e+00	6.43e-09	0.5656854166	0.5656854333
17	1.00e+00	9.93e-12	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 9.93e-12
# Result point = (0.5656854250, 0.5656854250)
