k	beta	residual	x	y
1	1.00e+00	4.79e-01	-0.2717908999	0.9064271207
2	5.00e-01	3.99e-01	-0.3929472256	0.5409912629
3	1.00e+00	1.54e-01	0.1100280962	0.4161320921
4	5.00e-01	1.24e-01	0.1501529804	0.6240725923
5	1.00e+00	6.50e-02	0.4171473205	0.5120182965
6	1.00e+00	3.99e-02	0.4923430425	0.6099883441
7	1.00e+00	4.28e-03	0.5569085330	0.5625143155
8	3.13e-02	4.17e-03	0.5605838509	0.5591740730
9	1.00e+00	1.12e-03	0.5654680126	0.5636271741
10	1.00e+00	4.70e-04	0.5647269902	0.5653391405
11	3.91e-03	4.69e-04	0.5651966925	0.5648740236
12	1.00e+00	1.60e-04	0.5657030701	0.5654083224
13	1.00e+00	5.38e-05	0.5655758904	0.5656458499
14	4.88e-04	5.38e-05	0.5656347436	0.5655870622
15	1.00e+00	2.06e-05	0.5656903277	0.5656507208
16	1.00e+00	6.18e-06	0.5656728381	0.5656808773
17	6.10e-05	6.18e-06	0.5656801967	0.5656735196
18	1.00e+00	2.61e-06	0.5656863112	0.5656811121
19	1.00e+00	7.11e-07	0.5656839776	0.5656849020
20	7.63e-06	7.11e-07	0.5656848976	0.5656839820
21	1.00e+00	3.31e-07	0.5656855663	0.5656848895
22	1.00e+00	8.17e-08	0.5656852585	0.5656853648
23	4.77e-07	8.17e-08	0.5656853153	0.5656853080
24	1.00e+00	1.70e-08	0.5656854138	0.5656853908
25	1.00e+00	9.40e-09	0.5656854058	0.5656854180
26	1.19e-07	9.40e-09	0.5656854152	0.5656854087
27	1.00e+00	3.20e-09	0.5656854253	0.5656854194
28	1.00e+00	1.08e-09	0.5656854227	0.5656854242
29	1.19e-07	1.08e-09	0.5656854238	0.5656854231
30	1.00e+00	3.72e-10	0.5656854250	0.5656854243
31	1.00e+00	1.24e-10	0.5656854247	0.5656854249
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by iterations
# iter = 31
# Residual = 1.24e-10
# Result point = (0.5656854247, 0.5656854249)
