k	beta	residual	x	y
1	1.00e+00	7.10e-01	0.2000000000	1.2100000000
2	1.00e+00	6.11e-02	0.2000000000	1.0016942149
3	1.00e+00	6.61e-04	0.2000000000	0.9800352597
4	1.00e+00	8.07e-08	0.2000000000	0.9797959263
5	1.00e+00	1.25e-15	0.2000000000	0.9797958971
# x_0 = (0.2000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 5
# Residual = 1.25e-15
# Result point = (0.2000000000, 0.9797958971)
