k	beta	residual	x	y
1	1.00e+00	4.08e-01	-0.1951515109	0.8970055382
2	1.00e+00	3.45e-01	-0.2433811311	0.2733679828
3	5.00e-01	2.35e-01	-0.1213121709	0.6125357258
4	1.00e+00	9.30e-02	0.2842249482	0.5199327644
5	1.00e+00	9.17e-02	0.4713660847	0.6943607690
6	1.00e+00	2.53e-02	0.6153165971	0.5836172715
7	5.00e-01	2.37e-02	0.5617631042	0.6062751174
8	1.00e+00	7.24e-03	0.5802716361	0.5709554536
9	6.25e-02	6.82e-03	0.5731831827	0.5769216785
10	1.00e+00	2.65e-03	0.5623876743	0.5691920374
11	1.00e+00	4.71e-05	0.5657814300	0.5657201118
12	4.88e-04	4.71e-05	0.5657248571	0.5657766272
13	1.00e+00	2.32e-05	0.5656555354	0.5657158287
14	1.00e+00	9.36e-08	0.5656856156	0.5656854938
15	9.54e-07	9.36e-08	0.5656855047	0.5656856048
16	1.00e+00	4.56e-08	0.5656853662	0.5656854847
17	1.00e+00	1.83e-10	0.5656854253	0.5656854251
18	1.91e-06	1.83e-10	0.5656854252	0.5656854252
19	1.00e+00	7.03e-11	0.5656854249	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 19
# Residual = 7.03e-11
# Result point = (0.5656854249, 0.5656854250)
