k	beta	residual	x	y
1	3.91e-03	9.99e-01	-3.1054687500	-2.9199218750
2	3.13e-02	9.97e-01	-3.3802150583	-2.5646532131
3	1.25e-01	9.30e-01	-3.3269388878	-1.7469462055
4	1.00e+00	5.76e-01	-0.6868635949	2.8434317974
5	1.00e+00	3.97e-01	-1.2651476962	-0.4217158987
6	1.00e+00	2.17e-01	0.5782841013	2.2108579494
7	5.00e-01	1.93e-01	0.1309985886	1.0527144873
8	1.00e+00	1.50e-01	1.8198088030	1.5900955985
9	5.00e-01	1.27e-01	1.0574283011	1.0900955985
10	4.88e-04	1.27e-01	1.0417621807	1.0983589274
11	6.10e-05	1.27e-01	1.0468404023	1.0958735739
12	9.54e-07	1.27e-01	1.0461662997	1.0962114651
13	1.19e-07	1.27e-01	1.0464686878	1.0960603761
14	1.19e-07	1.27e-01	1.0461820849	1.0962037825
15	5.96e-08	1.27e-01	1.0463512688	1.0961192430
16	7.45e-09	1.27e-01	1.0462774388	1.0961561646
17	3.73e-09	1.27e-01	1.0463158653	1.0961369546
18	1.46e-11	1.27e-01	1.0463134474	1.0961381636
# x_0 = (-3.0000000000, -3.0000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by beta
# iter = 18
# Residual = 1.27e-01
# Result point = (1.0463134474, 1.0961381636)
