k	beta	residual	x	y
1	1.00e+00	4.15e-01	-0.2048200436	0.8981941291
2	1.00e+00	3.66e-01	-0.2745018155	0.2621240143
3	5.00e-01	2.52e-01	-0.1500062856	0.6218322191
4	1.00e+00	9.40e-02	0.2643175936	0.5290749074
5	1.00e+00	8.73e-02	0.4773479768	0.6886044659
6	1.00e+00	2.28e-02	0.6107312293	0.5819605685
7	5.00e-01	1.30e-02	0.5731980055	0.5914938391
8	1.00e+00	6.36e-03	0.5785153519	0.5703209044
9	6.25e-02	5.99e-03	0.5734170809	0.5744326341
10	1.00e+00	1.87e-03	0.5636971646	0.5682841527
11	1.00e+00	1.16e-04	0.5659225877	0.5657711123
12	9.77e-04	1.16e-04	0.5658405683	0.5658528479
13	1.00e+00	3.61e-05	0.5656456297	0.5657350386
14	1.00e+00	1.81e-06	0.5656891120	0.5656867571
15	1.53e-05	1.81e-06	0.5656878298	0.5656880392
16	1.00e+00	5.64e-07	0.5656848010	0.5656862010
17	1.00e+00	2.80e-08	0.5656854820	0.5656854456
18	2.38e-07	2.80e-08	0.5656854615	0.5656854661
19	1.00e+00	8.96e-09	0.5656854150	0.5656854373
20	1.00e+00	4.34e-10	0.5656854258	0.5656854253
21	3.73e-09	4.34e-10	0.5656854262	0.5656854249
22	1.00e+00	1.57e-10	0.5656854252	0.5656854248
23	1.00e+00	6.71e-12	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 23
# Residual = 6.71e-12
# Result point = (0.5656854250, 0.5656854250)
