k	beta	residual	x	y
1	1.00e+00	5.86e-01	-0.4375000465	1.3749999276
2	1.00e+00	8.35e-02	-0.2122445128	1.0532063347
3	1.00e+00	3.32e-03	-0.1673093615	0.9890133893
4	1.00e+00	6.21e-06	-0.1653665923	0.9862379870
5	1.00e+00	2.24e-11	-0.1653629459	0.9862327799
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 5
# Residual = 2.24e-11
# Result point = (-0.1653629459, 0.9862327799)
