k	beta	residual	x	y
1	3.13e-02	9.90e-01	0.6356116605	0.7794505485
2	1.00e+00	2.32e-01	0.3898456049	0.7415252330
3	1.00e+00	5.81e-02	0.4777655166	0.6536053394
4	1.00e+00	1.45e-02	0.5217254727	0.6096453830
5	1.00e+00	3.63e-03	0.5437054478	0.5876654037
6	1.00e+00	9.08e-04	0.5546954331	0.5766754180
7	1.00e+00	2.27e-04	0.5601904299	0.5711804198
8	1.00e+00	5.67e-05	0.5629379299	0.5684329198
9	1.00e+00	1.42e-05	0.5643116776	0.5670591725
10	1.00e+00	3.55e-06	0.5649985488	0.5663723012
11	1.00e+00	8.86e-07	0.5653419856	0.5660288643
12	1.00e+00	2.22e-07	0.5655137071	0.5658571428
13	1.00e+00	5.54e-08	0.5655995666	0.5657712832
14	1.00e+00	1.39e-08	0.5656424952	0.5657283547
15	1.00e+00	3.46e-09	0.5656639625	0.5657068874
16	1.00e+00	8.66e-10	0.5656746943	0.5656961556
17	1.00e+00	2.16e-10	0.5656800584	0.5656907915
18	1.00e+00	5.51e-11	0.5656827362	0.5656881137
# x_0 = (0.7071067812, 0.7171067812)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 18
# Residual = 5.51e-11
# Result point = (0.5656827362, 0.5656881137)
