k	beta	residual	x	y
1	1.00e+00	3.14e-01	-0.1233648404	0.3167301201
2	5.00e-01	3.08e-01	-0.0837562940	0.7461243588
3	1.00e+00	1.35e-01	0.2732339089	0.4600220793
4	5.00e-01	1.12e-01	0.2900448442	0.6422685749
5	1.00e+00	4.26e-02	0.6440641353	0.5940038173
6	5.00e-01	3.50e-02	0.6395587067	0.5451606945
7	1.00e+00	1.83e-03	0.5691990775	0.5669549150
8	5.00e-01	1.52e-03	0.5689971029	0.5647653183
9	1.00e+00	3.98e-06	0.5656930660	0.5656881857
10	5.00e-01	3.29e-06	0.5656926268	0.5656834240
11	1.00e+00	1.89e-11	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 11
# Residual = 1.89e-11
# Result point = (0.5656854250, 0.5656854250)
