k	beta	residual	x	y
1	1.00e+00	5.52e-01	-0.3311156524	0.9137201465
2	5.00e-01	5.14e-01	-0.5456656215	0.5001773781
3	1.00e+00	1.99e-01	-0.0323386384	0.4307852689
4	1.00e+00	1.34e-01	0.3302829710	0.7190610630
5	5.00e-01	8.09e-02	0.2602988861	0.5745621475
6	1.00e+00	4.43e-02	0.4826643531	0.6142900103
7	1.00e+00	5.20e-03	0.5550182635	0.5618313571
8	1.56e-02	5.13e-03	0.5593382146	0.5577149001
9	1.00e+00	1.70e-03	0.5635219783	0.5631384807
10	1.00e+00	5.64e-04	0.5649098957	0.5648974711
11	1.00e+00	1.88e-04	0.5653840293	0.5654663817
12	1.00e+00	6.25e-05	0.5655445556	0.5656528906
13	1.00e+00	2.24e-05	0.5656721539	0.5656409136
14	1.00e+00	1.31e-05	0.5656586665	0.5656757571
15	3.05e-05	1.31e-05	0.5656672516	0.5656671730
16	1.00e+00	4.38e-06	0.5656783071	0.5656804014
17	1.00e+00	1.46e-06	0.5656820335	0.5656847693
18	1.00e+00	4.87e-07	0.5656848555	0.5656846454
19	1.00e+00	1.62e-07	0.5656852358	0.5656851644
20	1.00e+00	5.41e-08	0.5656853624	0.5656853377
21	1.00e+00	1.80e-08	0.5656854044	0.5656853956
22	1.00e+00	6.01e-09	0.5656854183	0.5656854150
23	1.00e+00	2.00e-09	0.5656854229	0.5656854215
24	1.00e+00	6.67e-10	0.5656854243	0.5656854237
25	1.00e+00	2.28e-10	0.5656854248	0.5656854245
26	1.00e+00	1.40e-10	0.5656854247	0.5656854248
27	1.19e-07	1.40e-10	0.5656854246	0.5656854249
28	1.00e+00	4.68e-11	0.5656854248	0.5656854249
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 28
# Residual = 4.68e-11
# Result point = (0.5656854248, 0.5656854249)
