k	beta	residual	x	y
1	1.00e+00	4.09e-01	-0.1965530633	0.8971778366
2	1.00e+00	3.48e-01	-0.2478383122	0.2717575940
3	5.00e-01	2.37e-01	-0.1253765773	0.6137982057
4	1.00e+00	9.31e-02	0.2814449305	0.5211216865
5	1.00e+00	9.09e-02	0.4725446219	0.6932607877
6	1.00e+00	2.48e-02	0.6143584472	0.5832710899
7	5.00e-01	2.22e-02	0.5631256921	0.6042139714
8	1.00e+00	7.06e-03	0.5799169722	0.5708273128
9	6.25e-02	6.65e-03	0.5731186839	0.5765307856
10	1.00e+00	2.53e-03	0.5625836738	0.5690589375
11	1.00e+00	5.75e-05	0.5658024377	0.5657277019
12	4.88e-04	5.74e-05	0.5657481396	0.5657819299
13	1.00e+00	2.31e-05	0.5656562417	0.5657158523
14	1.00e+00	2.26e-07	0.5656858857	0.5656855914
15	1.91e-06	2.26e-07	0.5656856731	0.5656858039
16	1.00e+00	9.06e-08	0.5656853105	0.5656855443
17	1.00e+00	8.82e-10	0.5656854267	0.5656854256
18	9.54e-07	8.82e-10	0.5656854279	0.5656854245
19	1.00e+00	4.62e-10	0.5656854256	0.5656854244
20	1.00e+00	3.44e-12	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 20
# Residual = 3.44e-12
# Result point = (0.5656854250, 0.5656854250)
