k	beta	residual	x	y
1	1.00e+00	4.43e-01	-0.2356208242	0.9019805906
2	1.00e+00	4.43e-01	-0.3794876405	0.2241924158
3	5.00e-01	3.23e-01	-0.2518701531	0.6611138388
4	1.00e+00	9.61e-02	0.1900288001	0.5739970313
5	1.00e+00	9.20e-02	0.4691453916	0.6940720104
6	1.00e+00	2.65e-02	0.6177002249	0.5844784812
7	2.50e-01	2.08e-02	0.6245881697	0.5613884137
8	1.00e+00	6.77e-03	0.5803231167	0.5589653586
9	1.00e+00	1.63e-03	0.5690019382	0.5668836881
10	6.25e-02	1.54e-03	0.5698933469	0.5657380484
11	1.00e+00	4.00e-04	0.5665629191	0.5652922262
12	1.00e+00	9.47e-05	0.5658783196	0.5657551182
13	7.81e-03	9.41e-05	0.5659833722	0.5656482191
14	1.00e+00	4.04e-05	0.5657594427	0.5656404251
15	1.00e+00	5.66e-06	0.5656969525	0.5656895899
16	4.88e-04	5.66e-06	0.5657034952	0.5656830402
17	1.00e+00	2.49e-06	0.5656899504	0.5656826425
18	1.00e+00	3.40e-07	0.5656861171	0.5656856750
19	3.05e-05	3.40e-07	0.5656865263	0.5656852658
20	1.00e+00	1.56e-07	0.5656857048	0.5656852498
21	1.00e+00	2.04e-08	0.5656854665	0.5656854400
22	1.91e-06	2.04e-08	0.5656854923	0.5656854142
23	1.00e+00	9.82e-09	0.5656854424	0.5656854138
24	1.00e+00	1.23e-09	0.5656854274	0.5656854259
25	1.19e-07	1.23e-09	0.5656854264	0.5656854269
26	1.00e+00	4.10e-10	0.5656854247	0.5656854256
27	1.00e+00	7.36e-11	0.5656854251	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 27
# Residual = 7.36e-11
# Result point = (0.5656854251, 0.5656854250)
