k	beta	residual	x	y
1	3.13e-02	9.90e-01	0.6356116964	0.7794505312
2	1.00e+00	2.32e-01	0.3898455547	0.7415252952
3	1.00e+00	5.81e-02	0.4777654898	0.6536053601
4	1.00e+00	1.45e-02	0.5217254574	0.6096453925
5	1.00e+00	3.63e-03	0.5437054412	0.5876654087
6	1.00e+00	9.08e-04	0.5546954331	0.5766754168
7	1.00e+00	2.27e-04	0.5601904290	0.5711804209
8	1.00e+00	5.67e-05	0.5629379270	0.5684329229
9	1.00e+00	1.42e-05	0.5643116760	0.5670591739
10	1.00e+00	3.55e-06	0.5649985505	0.5663722994
11	1.00e+00	8.86e-07	0.5653419877	0.5660288622
12	1.00e+00	2.22e-07	0.5655137063	0.5658571436
13	1.00e+00	5.54e-08	0.5655995656	0.5657712843
14	1.00e+00	1.39e-08	0.5656424953	0.5657283546
15	1.00e+00	3.46e-09	0.5656639601	0.5657068898
16	1.00e+00	8.66e-10	0.5656746925	0.5656961574
17	1.00e+00	2.16e-10	0.5656800587	0.5656907912
18	1.00e+00	5.41e-11	0.5656827418	0.5656881081
# x_0 = (0.7071067812, 0.7171067812)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 18
# Residual = 5.41e-11
# Result point = (0.5656827418, 0.5656881081)
