k	beta	residual	x	y
1	1.00e+00	4.24e-01	-0.2154766329	0.8995041857
2	1.00e+00	3.91e-01	-0.3098168499	0.2493646184
3	5.00e-01	2.73e-01	-0.1834298256	0.6337126771
4	1.00e+00	9.46e-02	0.2404352074	0.5417958347
5	1.00e+00	8.60e-02	0.4786978891	0.6867724061
6	1.00e+00	2.24e-02	0.6098946144	0.5816582977
7	1.00e+00	1.90e-03	0.5701559412	0.5664519086
8	1.00e+00	3.24e-04	0.5663450237	0.5653483828
9	1.00e+00	6.08e-05	0.5658092487	0.5657301627
10	9.77e-04	6.07e-05	0.5657607923	0.5657784710
11	1.00e+00	1.98e-05	0.5656668727	0.5657138951
12	1.00e+00	1.86e-06	0.5656892225	0.5656867970
13	3.05e-05	1.86e-06	0.5656877075	0.5656883119
14	1.00e+00	6.20e-07	0.5656848407	0.5656863133
15	1.00e+00	5.72e-08	0.5656855414	0.5656854670
16	9.54e-07	5.72e-08	0.5656854940	0.5656855144
17	1.00e+00	1.93e-08	0.5656854066	0.5656854526
18	1.00e+00	1.75e-09	0.5656854285	0.5656854262
19	2.38e-07	1.75e-09	0.5656854298	0.5656854249
20	1.00e+00	5.44e-10	0.5656854259	0.5656854243
21	1.00e+00	5.37e-11	0.5656854251	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 21
# Residual = 5.37e-11
# Result point = (0.5656854251, 0.5656854250)
