k	beta	residual	x	y
1	1.00e+00	2.50e-01	0.3610451334	0.7703257275
2	1.00e+00	6.25e-02	0.4633652786	0.6680055807
3	1.00e+00	1.56e-02	0.5145253489	0.6168454958
4	1.00e+00	3.91e-03	0.5401053942	0.5912654515
5	1.00e+00	9.77e-04	0.5528954094	0.5784754418
6	1.00e+00	2.44e-04	0.5592904175	0.5720804327
7	1.00e+00	6.10e-05	0.5624879194	0.5688829306
8	1.00e+00	1.53e-05	0.5640866746	0.5672841752
9	1.00e+00	3.81e-06	0.5648860480	0.5664848020
10	1.00e+00	9.54e-07	0.5652857346	0.5660851153
11	1.00e+00	2.38e-07	0.5654855804	0.5658852695
12	1.00e+00	5.96e-08	0.5655855082	0.5657853417
13	1.00e+00	1.49e-08	0.5656354604	0.5657353895
14	1.00e+00	3.73e-09	0.5656604409	0.5657104090
15	1.00e+00	9.30e-10	0.5656729354	0.5656979145
16	1.00e+00	2.33e-10	0.5656791802	0.5656916697
17	1.00e+00	5.78e-11	0.5656823093	0.5656885406
# x_0 = (0.1564050000, 0.9749660000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 5.78e-11
# Result point = (0.5656823093, 0.5656885406)
